Order,Category,FileName,Format,OriginalPath,SizeBytes,SHA256
4,04-Ket-noi-vat-ly-va-connectivity,2.8.2 Video Activity - Test End-to-End Connectivity.pkt,PKT,S1_ITN v7 Packet Tracer Activity Source Files\2.8.2 Video Activity - Test End-to-End Connectivity.pkt,46449,CC2658DEC24210169109AA88EB625F94B97FA871C6FD0F451622C87BEA7D43A4
4,04-Ket-noi-vat-ly-va-connectivity,4.6.5 Packet Tracer - Connect a Wired and Wireless LAN.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\4.6.5 Packet Tracer - Connect a Wired and Wireless LAN.pka,571185,CF7A3E03B29B921DA1CA4787DA78467A39573E0D36D13E81B15FA1B11901C999
4,04-Ket-noi-vat-ly-va-connectivity,4.7.1 Packet Tracer - Connect the Physical Layer.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\4.7.1 Packet Tracer - Connect the Physical Layer.pka,521046,3836F9F7F22B069FAF3FB843B23B386E32964CB5A78D0556C768DF8C9946D644
5,05-Dia-chi-IP-Subnetting-VLSM,11.10.1 Packet Tracer - Design and Implement a VLSM Addressing Scheme.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\11.10.1 Packet Tracer - Design and Implement a VLSM Addressing Scheme.pka,690942,199E81A137C084436D362AA1B5C77A444ED8F585E5939007DC8B5005130ABBAC
5,05-Dia-chi-IP-Subnetting-VLSM,11.5.5 Packet Tracer - Subnet an IPv4 Network.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\11.5.5 Packet Tracer - Subnet an IPv4 Network.pka,282442,DABC3D58EC6407B0DEE75A56036D025CFEC2B92B5F9F8E50E368031E1E0E99BF
5,05-Dia-chi-IP-Subnetting-VLSM,11.7.5 Packet Tracer - Subnetting Scenario.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\11.7.5 Packet Tracer - Subnetting Scenario.pka,689695,56F683AF0841190FAD09B877FFE89EDD7DBF73BD6B752D26FC50A37E25C87518
5,05-Dia-chi-IP-Subnetting-VLSM,11.9.3 Packet Tracer - VLSM Design and Implementation Practice.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\11.9.3 Packet Tracer - VLSM Design and Implementation Practice.pka,327695,42A004A49D4109EFCBBCDBD51EEBD378023E6DB2E206F91869C6C5B127951A35
5,05-Dia-chi-IP-Subnetting-VLSM,12.6.6 Packet Tracer - Configure IPv6 Addressing.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\12.6.6 Packet Tracer - Configure IPv6 Addressing.pka,757212,CF3E083E13F3D27959D2721D87F23FBEBE9D0830E02A108C9542FBD7C6382B48
5,05-Dia-chi-IP-Subnetting-VLSM,12.9.1 Packet Tracer - Implement a Subnetted IPv6 Addressing Scheme.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\12.9.1 Packet Tracer - Implement a Subnetted IPv6 Addressing Scheme.pka,300729,0B4ECB9654B426BDEC951FD342FAF0B2BCD8577D02A24DBD40BC9446DE884087
5,05-Dia-chi-IP-Subnetting-VLSM,13.2.6 Packet Tracer - Verify IPv4 and IPv6 Addressing.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\13.2.6 Packet Tracer - Verify IPv4 and IPv6 Addressing.pka,689278,86145AF09B1F91822FE34A22BC5A453A7EE8A4005E6C203D6A8A4BDEA1FAA816
6,06-VLAN-Trunk-DTP,3.1.4 Packet Tracer - Who Hears the Broadcast.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.1.4 Packet Tracer - Who Hears the Broadcast.pka,707719,E41E41CB1F7B7F135264AA26C678130CEB87BF863FA4867BCF21B2D91D7C8CDA
6,06-VLAN-Trunk-DTP,3.2.8 Packet Tracer - Investigate a VLAN Implementation.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.2.8 Packet Tracer - Investigate a VLAN Implementation.pka,659739,85D555948EC2DEE74F8224B4696EAD11AAF5047A0F7645F9D39179A9D713BBA1
6,06-VLAN-Trunk-DTP,3.3.12 Packet Tracer - VLAN Configuration.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.3.12 Packet Tracer - VLAN Configuration.pka,648824,0CECE2B81E82A0A3BA8294BDCAFEBC7B5547BA3E5E7465991721687BF6A3F7D0
6,06-VLAN-Trunk-DTP,3.4.5 Packet Tracer - Configure Trunks.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.4.5 Packet Tracer - Configure Trunks.pka,704768,C2BD01326542CC5B9074EB422AD40F0040C7730D5DCEF75C7AFB9D531CCA6C7D
6,06-VLAN-Trunk-DTP,3.5.5 Packet Tracer - Configure DTP.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.5.5 Packet Tracer - Configure DTP.pka,660221,FB2619216500C3DC13B8E491F295F05DB9E60E9C38B26C9100A15DDA6CCAE583
6,06-VLAN-Trunk-DTP,3.6.1 Packet Tracer - Implement VLANs and Trunking.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\3.6.1 Packet Tracer - Implement VLANs and Trunking.pka,653550,270184D2F716C6F47D2093E7E65232DEFA2A1D0A6AE33C3FACAF1164316937EF
7,07-STP-va-EtherChannel,5.1.9 Packet Tracer - Investigate STP Loop Prevention.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\5.1.9 Packet Tracer - Investigate STP Loop Prevention.pka,607324,4FB5AA548CD28445C1656C6C4AE420DDDEB860A5014DA3F967BDDF23CA7408CE
7,07-STP-va-EtherChannel,6.2.4 Packet Tracer - Configure EtherChannel.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\6.2.4 Packet Tracer - Configure EtherChannel.pka,610965,1BE067EFAE9C35F8D51FFC53876892F765E91101A6751E1FE0038D339C1A1FBB
7,07-STP-va-EtherChannel,6.3.4 Packet Tracer - Troubleshoot EtherChannel.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\6.3.4 Packet Tracer - Troubleshoot EtherChannel.pka,633303,A884F1228CAD08142EAB24976E567351A0C17B41D6167336774D1F35D3E1A303
7,07-STP-va-EtherChannel,6.4.1 Packet Tracer - Implement Etherchannel.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\6.4.1 Packet Tracer - Implement Etherchannel.pka,577617,7D1DF020CE691319D03A2AABAE90C4F31EB627DDCD15CDF9DE2F09BE301C1A62
8,08-Inter-VLAN-va-Layer-3-Switching,4.2.7 Packet Tracer - Configure Router-on-a-Stick Inter-VLAN Routing.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\4.2.7 Packet Tracer - Configure Router-on-a-Stick Inter-VLAN Routing.pka,598667,50790CA275BFFD3F4960503A7A58CAC83EC8DB729189C457E662C52E9073BA2E
8,08-Inter-VLAN-va-Layer-3-Switching,4.3.8 Packet Tracer - Configure Layer 3 Switching and Inter-VLAN Routing.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\4.3.8 Packet Tracer - Configure Layer 3 Switching and Inter-VLAN Routing.pka,690665,B53638A156F39BDFF42FBD69986CA8E2955A9B191B7F98E7C8BFDA280214DAE0
8,08-Inter-VLAN-va-Layer-3-Switching,4.4.8 Packet Tracer - Troubleshoot Inter-VLAN Routing.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\4.4.8 Packet Tracer - Troubleshoot Inter-VLAN Routing.pka,595834,8A726E7EF76DDF831DAA93BE1B359114C05A1D2A85C31C8A351DFF35904BBF76
8,08-Inter-VLAN-va-Layer-3-Switching,4.5.1 Packet Tracer - Inter-VLAN Routing Challenge.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\4.5.1 Packet Tracer - Inter-VLAN Routing Challenge.pka,689918,EC0F74E1F4600679FADBE95C914F076CDDAB155F683C98B787719263BA1792D6
